Vowel, Recording#, F1, F2
u,114,431.9488,1671.964
u,115,446.6431,1523.483
u,116,331.6126,336.6041
u,117,200.5558,1192.609
u,118,226.2791,1061.378
u,119,242.8119,844.7062
u,120,262.3263,1563.498
u,121,121.7076,466.7034
u,122,320.9616,372.6153
u,123,220.6057,936.8709
u,124,408.727,1413.971
u,125,331.9594,1040.348
u,126,174.6069,462.9596
u,127,275.5563,1589.394
u,128,184.9077,1394.865
u,129,203.771,1186.327
u,130,341.9295,2240.318
u,131,179.6003,1680.931
u,132,309.0244,1296.585
u,133,379.0723,2030.174
u,134,374.3909,949.5209
u,135,292.9753,1263.731
u,136,339.8371,802.387
u,137,273.345,698.3451
u,138,291.179,1287.534
u,139,163.4332,681.1763
u,140,241.8039,1549.336
u,141,198.9242,641.7983
u,142,359.8272,609.8417
u,143,234.4419,1345.693
u,144,234.874,1815.324
u,145,233.5117,813.0787
u,146,228.1801,792.643
u,147,174.8761,450.0313
u,148,393.4667,1504.641
u,149,227.9042,760.2672
