Vowel, Recording#, F1, F2
o,34,184.8173,804.3441
o,35,178.5004,1613.878
o,36,543.9171,966.3282
o,37,200.5546,1298.473
o,38,204.8961,1285.469
o,39,180.1205,767.0093
o,40,143.9094,1619.166
o,41,473.9886,1500.913
o,42,153.2323,804.7283
o,43,191.4184,754.5874
o,44,159.5499,851.6187
o,45,237.8915,1474.102
o,46,227.5188,1193.053
o,47,303.2576,1291.401
o,48,142.2588,807.1312
o,49,173.0203,929.4648
o,50,193.0724,933.7029
o,51,337.3089,716.8193
o,52,301.912,705.5806
o,53,510.317,805.3707
o,54,430.079,1397.099
o,55,407.6573,664.5699
o,56,464.2358,753.631
o,57,166.674,789.8546
o,58,282.2898,842.7591
o,59,233.001,927.455
o,60,472.128,905.2579
o,61,195.5102,843.1778
o,62,114.3529,204.5797
o,63,186.2701,967.7638
o,64,182.7794,962.946
o,65,202.9415,1259.713
o,66,416.8904,1890.152
o,67,416.6982,1160.91
o,68,337.571,802.6616
o,69,208.1106,737.347
o,70,261.9794,570.2464
o,71,211.8612,623.4826
o,72,492.3694,1204.123
o,73,194.2081,1502.122
o,74,154.7553,1154.726
o,75,176.3465,1707.082
o,76,185.8503,1260.055
o,77,200.5877,1465.745
o,78,169.563,698.7245
o,79,176.9571,984.7209
o,80,213.7113,962.8165
o,81,514.2489,1418.156
o,82,412.9152,893.7197
o,83,65.63479,491.3763
o,84,270.013,972.9535
o,85,421.9973,1043.37
o,86,295.7509,990.7776
o,87,130.9067,1022.626
o,88,270.1425,1182.895
o,89,305.1259,1136.084
o,90,363.7051,1804.98
o,91,374.5591,1746.356
o,92,458.7398,1102.081
o,93,388.9618,1950.28
o,94,383.0233,1111.4
o,95,201.5249,637.1212
o,96,181.3403,797.3203
o,97,176.5862,791.7915
o,98,447.765,651.606
o,99,197.3194,1303.363
o,100,214.6767,1066.283
o,101,590.5405,1141.882
o,102,48.46068,1331.361
o,103,155.1637,824.0619
o,104,187.0696,893.3024
o,105,264.8579,1082.588
o,106,204.4885,856.3533
o,107,200.5574,997.5392
o,108,207.5343,1003.162
o,109,280.0623,1413.919
o,110,206.7504,1117.487
o,111,303.0525,1510.54
o,112,344.3646,678.0753
o,113,384.3579,1936.413
o,114,225.1695,1808.543
o,115,231.4548,1832.992
o,116,278.7726,592.0953
o,117,168.5268,807.8133
o,118,208.5437,678.9717
o,119,208.0879,1120.741
o,120,192.0564,1628.397
o,121,206.9964,896.6315
o,122,283.2058,871.5721
o,123,218.0081,847.1586
o,124,179.7279,1110.922
o,125,202.1487,1055.443
o,126,173.2718,629.8368
o,127,266.5042,1290.223
o,128,340.1318,940.2676
o,129,439.3665,1289.954
o,130,217.7944,1328.249
o,131,222.2778,1110.494
o,132,26.17606,621.675
o,133,289.0107,1080.902
o,134,338.1082,907.3835
o,135,205.1419,1096.454
o,136,168.132,675.2144
o,137,188.8887,911.6798
o,138,243.8209,1386.603
o,139,198.6118,1585.688
o,140,409.2582,1584.073
o,141,193.7123,1281.187
o,142,162.4788,1474.048
o,143,570.8048,1170.525
o,144,483.8779,590.2191
o,145,463.2889,1632.002
o,146,216.9718,1539.133
o,147,279.869,347.4127
o,148,283.5621,598.2225
o,149,244.0899,486.5481
u,0,290.9134,636.7855
u,1,247.4674,344.1595
u,2,305.3516,612.9012
u,3,409.5322,793.914
u,4,202.5956,455.7804
u,5,331.3095,989.4239
u,6,167.8512,751.9562
u,7,325.6411,965.8087
u,8,217.4086,1067.68
u,9,158.8714,607.91
u,10,176.4459,951.0789
u,11,210.3457,1392.51
u,12,341.6911,1791.067
u,13,350.8875,623.7228
u,14,380.9704,1139.336
u,15,392.6432,754.9269
u,16,115.4919,402.9721
u,17,436.8459,1426.719
u,18,173.1644,1135.464
u,19,176.8117,984.7958
u,20,351.6506,759.9248
u,21,279.2713,1080.112
u,22,333.2847,1298.064
u,23,385.3447,1007.53
u,24,370.8038,433.7882
u,25,427.0698,1448.888
u,26,413.5396,450.7032
u,27,309.5336,1388.617
u,28,223.1694,421.2321
u,29,275.344,1789.512
u,30,284.6633,710.3665
u,31,337.1365,1491.906
u,32,342.2938,1368.443
u,33,184.3621,1649.981
u,34,189.6169,1369.766
u,35,172.9895,826.8766
u,36,404.3752,769.3007
u,37,205.5081,1352.809
u,38,201.7739,712.953
u,39,163.7732,1335.945
u,40,324.5647,657.3098
u,41,263.748,1157.492
u,42,165.9717,903.6146
u,43,162.1287,541.0098
u,44,256.467,1118.363
u,45,244.5244,693.157
u,46,331.1017,1033.672
u,47,382.7698,910.3582
u,48,166.7286,930.1644
u,49,134.8869,738.371
u,50,499.0782,1607.421
u,51,176.7828,624.6854
u,52,285.092,641.0463
u,53,238.2306,523.8646
u,54,261.0497,350.6546
u,55,427.7828,459.5128
u,56,408.2061,443.7419
u,57,170.7467,800.8931
u,58,186.2973,935.6195
u,59,222.595,1071.839
u,60,207.297,1485.482
u,61,228.9399,1485.443
u,62,215.9395,914.6168
u,63,200.5815,463.0742
u,64,205.27,874.3558
u,65,169.2407,989.2424
u,66,198.3723,1219.804
u,67,434.7267,1639.507
u,68,366.6626,1388.86
u,69,243.9122,1078.53
u,70,228.3148,398.1464
u,71,350.7249,1276.567
u,72,447.7661,1153.274
u,73,242.8448,1191.947
u,74,348.7014,1248.524
u,75,196.5059,1689.173
u,76,183.0011,1831.984
u,77,187.5598,1519.159
u,78,303.9692,1491.102
u,79,372.4502,1795.208
u,80,198.8309,736.1387
u,81,209.2492,935.2186
u,82,243.4072,667.7532
u,83,208.6639,752.8829
u,84,300.7881,547.5102
u,85,207.1431,1669.461
u,86,235.2018,1495.931
u,87,126.4374,1034.809
u,88,367.4035,1424.516
u,89,1030.815,1745.546
u,90,260.4107,1473.9
u,91,209.1568,1608.91
u,92,401.1636,1256.211
u,93,183.263,2037.813
u,94,219.4631,1549.564
u,95,349.9343,1633.44
u,96,175.2109,1351.326
u,97,188.7688,1263.895
u,98,181.2393,1759.136
u,99,166.407,1135.472
u,100,284.9944,393.9687
u,101,501.6475,695.1655
u,102,157.7849,1289.612
u,103,144.6521,984.3033
u,104,154.6743,797.4597
u,105,212.9806,1275.309
u,106,156.3144,957.4157
u,107,196.9806,857.0466
u,108,181.9808,1488.328
u,109,219.7727,2030.261
u,110,211.4387,932.4483
u,111,288.0514,1310.229
u,112,300.1276,322.9857
u,113,267.9375,1518.379
u,114,167.6292,1017.644
u,115,235.5991,1437.232
u,116,187.3849,1812.213
u,117,205.1777,1384.113
u,118,178.4393,1699.689
u,119,175.9146,1487.278
u,120,187.0959,743.7419
u,121,230.0038,1210.309
u,122,194.1093,855.8349
u,123,241.6534,1284.363
u,124,305.5711,1324.034
u,125,292.3695,498.5399
u,126,348.9961,890.426
u,127,211.7857,1201.71
u,128,398.1726,2036.061
u,129,451.2027,1117.66
u,130,304.864,655.2856
u,131,232.2884,1313.997
u,132,296.3115,542.1959
u,133,326.9018,746.088
u,134,700,700
u,135,128.8384,695.2773
u,136,160.3748,1050.75
u,137,212.1686,2173.621
u,138,245.2607,1109.616
u,139,185.4464,585.3741
u,140,133.4418,761.179
u,141,308.4681,1608.609
u,142,407.5813,910.4243
u,143,237.3857,1484.456
u,144,289.6386,1332.143
u,145,169.9825,697.8475
u,146,148.836,1406.633
u,147,245.0497,1410.632
u,148,262.3978,1684.283
u,149,192.3451,1719.024
